#time,accel_x,accel_y,accel_z
371.966960,74.020594,-9252.574275,-1685.410096
371.967281,0.000000,-9326.594869,-1378.971896
371.967603,-296.082377,-9474.636058,-1378.971896
371.967925,-370.102971,-9622.677246,-1302.362347
371.968247,-296.082377,-9696.697840,-1378.971896
371.968569,-444.123565,-9474.636058,-842.705048
371.968890,0.000000,-9400.615463,-1685.410096
371.969212,0.000000,-8956.491898,-1378.971896
371.969534,0.000000,-9326.594869,-1532.190996
371.969856,0.000000,-9326.594869,-1378.971896
371.970178,0.000000,-9252.574275,-995.924147
371.970499,0.000000,-9326.594869,-1762.019645
371.970821,-222.061783,-9474.636058,-1532.190996
371.971143,-666.185348,-9178.553681,-1378.971896
371.971465,-518.144159,-9326.594869,-1378.971896
371.971787,-740.205942,-9252.574275,-1302.362347
371.972108,-1184.329507,-8808.450710,-1149.143247
371.972430,-518.144159,-9474.636058,-1685.410096
371.972752,-666.185348,-9400.615463,-1532.190996
371.973074,-592.164754,-9326.594869,-1378.971896
371.973396,-666.185348,-9104.533087,-1302.362347
371.973717,-740.205942,-8882.471304,-1072.533697
371.974039,-296.082377,-9400.615463,-1762.019645
371.974361,-666.185348,-9400.615463,-1685.410096
371.974683,-592.164754,-9770.718434,-1455.581446
371.975005,-1036.288319,-9548.656652,-1302.362347
371.975326,-592.164754,-9474.636058,-1225.752797
371.975648,-666.185348,-9178.553681,-1072.533697
371.975970,-518.144159,-9104.533087,-1532.190996
371.976292,-222.061783,-9252.574275,-1378.971896
371.976614,-296.082377,-8956.491898,-1378.971896
371.976936,-370.102971,-9400.615463,-1378.971896
371.977257,-370.102971,-9474.636058,-1149.143247
371.977579,-370.102971,-9770.718434,-1302.362347
371.977901,-740.205942,-9548.656652,-1532.190996
371.978223,-592.164754,-9474.636058,-1455.581446
371.978545,-222.061783,-9104.533087,-1302.362347
371.978866,0.000000,-8956.491898,-1225.752797
371.979188,0.000000,-9104.533087,-2068.457845
371.979510,-222.061783,-9178.553681,-1532.190996
371.979832,-444.123565,-9400.615463,-1378.971896
371.980154,-444.123565,-9474.636058,-1532.190996
371.980475,-222.061783,-9622.677246,-1378.971896
371.980797,-592.164754,-8956.491898,-1838.629195
371.981119,-296.082377,-9252.574275,-1378.971896
371.981441,-148.041188,-9326.594869,-1532.190996
371.981763,0.000000,-9326.594869,-1608.800546
371.982084,0.000000,-9400.615463,-1532.190996
371.982406,0.000000,-9326.594869,-995.924147
371.982728,0.000000,-9474.636058,-1685.410096
371.983050,0.000000,-9474.636058,-1455.581446
371.983372,-222.061783,-9474.636058,-1378.971896
371.983693,-296.082377,-9400.615463,-1378.971896
371.984015,-222.061783,-9474.636058,-1762.019645
371.984337,74.020594,-9474.636058,-1608.800546
371.984659,0.000000,-9474.636058,-1685.410096
371.984981,0.000000,-9474.636058,-1762.019645
371.985302,0.000000,-9474.636058,-1532.190996
371.985624,0.000000,-9178.553681,-1532.190996
371.985946,0.000000,-9178.553681,-1378.971896
371.986268,-592.164754,-9252.574275,-1532.190996
371.986590,-592.164754,-9474.636058,-1532.190996
371.986911,-666.185348,-9474.636058,-1378.971896
371.987233,-592.164754,-9474.636058,-1378.971896
371.987555,-148.041188,-9474.636058,-1685.410096
371.987877,0.000000,-9104.533087,-1378.971896
371.988199,-148.041188,-9326.594869,-1685.410096
371.988520,-222.061783,-9326.594869,-1762.019645
371.988842,-518.144159,-9474.636058,-1455.581446
371.989164,-740.205942,-9474.636058,-1608.800546
371.989486,-296.082377,-9696.697840,-1302.362347
371.989808,-814.226536,-9474.636058,-1378.971896
371.990130,-888.247130,-9474.636058,-1455.581446
371.990451,-444.123565,-9326.594869,-1532.190996
371.990773,-666.185348,-9178.553681,-1532.190996
371.991095,0.000000,-8882.471304,-1378.971896
371.991417,-666.185348,-9030.512492,-1378.971896
371.991739,-666.185348,-9474.636058,-1302.362347
371.992060,-740.205942,-9696.697840,-1532.190996
371.992382,-666.185348,-9548.656652,-1149.143247
371.992704,-518.144159,-9400.615463,-995.924147
371.993026,-666.185348,-9474.636058,-1149.143247
371.993348,222.061783,-9474.636058,-1302.362347
371.993669,1110.308913,-9548.656652,-1838.629195
371.993991,1110.308913,-9770.718434,-995.924147
371.994313,888.247130,-9622.677246,-536.266849
371.994635,370.102971,-9178.553681,-766.095498
371.994957,74.020594,-8956.491898,-1455.581446
371.995278,-296.082377,-9030.512492,-1915.238745
371.995600,-1184.329507,-8882.471304,-1608.800546
371.995922,-1110.308913,-8586.388927,-1455.581446
371.996244,-296.082377,-9030.512492,-1762.019645
371.996566,518.144159,-9770.718434,-1149.143247
371.996887,0.000000,-10436.903782,-612.876398
371.997209,0.000000,-9548.656652,-689.485948
371.997531,592.164754,-9252.574275,-1608.800546
371.997853,1850.514855,-9770.718434,-2221.676944
371.998175,2072.576638,-9918.759623,-1455.581446
371.998496,1110.308913,-8808.450710,-229.828649
371.998818,1776.494261,-8438.347739,-612.876398
371.999140,3182.885551,-9474.636058,-1225.752797
371.999462,3627.009116,-9918.759623,-919.314598
371.999784,3034.844362,-8808.450710,0.000000
372.000105,2886.803174,-8068.244768,-229.828649
372.000427,3701.029710,-8216.285956,-995.924147
372.000749,4071.132681,-9178.553681,-1149.143247
372.001071,3404.947333,-8956.491898,-766.095498
372.001393,3256.906145,-8438.347739,-919.314598
372.001714,4441.235652,-8660.409521,-2451.505594
372.002036,4737.318029,-10584.944971,-2451.505594
372.002358,4441.235652,-10658.965565,-1378.971896
372.002680,3701.029710,-9548.656652,-1532.190996
372.003002,4145.153275,-10140.821405,-2221.676944
372.003323,4293.194464,-10658.965565,-1991.848295
372.003645,3701.029710,-9918.759623,-2221.676944
372.003967,3108.864956,-9474.636058,-2374.896044
372.004289,2812.782580,-9252.574275,-1225.752797
372.004611,3256.906145,-9030.512492,-1532.190996
372.004933,4071.132681,-8068.244768,-1608.800546
372.005254,5033.400406,-8734.430116,-2221.676944
372.005576,5403.503377,-9178.553681,-1685.410096
372.005898,5551.544565,-9548.656652,-919.314598
372.006220,5255.462188,-9104.533087,-919.314598
372.006542,5033.400406,-9030.512492,-1608.800546
372.006863,4219.173869,-8956.491898,-2451.505594
372.007185,2812.782580,-9844.739029,-2681.334243
372.007507,1554.432478,-11029.068536,-2757.943793
372.007829,518.144159,-12361.439231,-1685.410096
372.008151,370.102971,-12731.542202,-383.047749
372.008472,222.061783,-13027.624579,0.000000
372.008794,-222.061783,-12361.439231,383.047749
372.009116,74.020594,-11547.212695,995.924147
372.009438,296.082377,-9770.718434,1302.362347
372.009760,74.020594,-7920.203579,1532.190996
372.010081,-518.144159,-5995.668130,1685.410096
372.010403,-740.205942,-4885.359217,536.266849
372.010725,-444.123565,-4737.318029,-1685.410096
372.011047,592.164754,-5255.462188,-2528.115143
372.011369,1924.535449,-5699.585753,-2757.943793
372.011690,3478.967927,-5995.668130,-3370.820191
372.012012,5255.462188,-7550.100608,-3907.087040
372.012334,6661.853478,-10436.903782,-4749.792088
372.012656,5995.668130,-12657.521608,-4290.134789
372.012978,5033.400406,-13841.851115,-3524.039291
372.013299,4811.338623,-14730.098246,-2451.505594
372.013621,4515.256246,-14137.933492,-1532.190996
372.013943,2960.823768,-13619.789333,383.047749
372.014265,1184.329507,-11843.295072,2221.676944
372.014587,74.020594,-9474.636058,3140.991542
372.014908,740.205942,-6661.853478,2298.286494
372.015230,1258.350101,-4959.379811,2068.457845
372.015552,444.123565,-3478.967927,2681.334243
372.015874,222.061783,-3404.947333,2451.505594
372.016196,518.144159,-5181.441594,919.314598
372.016517,1628.453072,-7476.080014,-536.266849
372.016839,1776.494261,-8734.430116,-2068.457845
372.017161,1036.288319,-9474.636058,-4749.792088
372.017483,740.205942,-12213.398043,-4979.620737
372.017805,1480.411884,-14359.995275,-4826.401637
372.018127,2146.597232,-16284.530724,-5592.497135
372.018448,2072.576638,-16728.654289,-6052.154434
372.018770,1776.494261,-14952.160028,-3830.477490
372.019092,2220.617826,-11547.212695,-2374.896044
372.019414,3775.050304,-8438.347739,-3140.991542
372.019736,5329.482782,-8216.285956,-2451.505594
372.020057,5773.606348,-8216.285956,689.485948
372.020379,5699.585753,-7031.956449,2834.553343
372.020701,6513.812290,-5403.503377,3370.820191
372.021023,7994.224174,-5033.400406,2911.162892
372.021345,8734.430116,-5403.503377,1838.629195
372.021666,6735.874072,-5181.441594,1915.238745
372.021988,4589.276840,-4293.194464,2681.334243
372.022310,4367.215058,-6217.729913,-536.266849
372.022632,4367.215058,-9400.615463,-3907.087040
372.022954,1776.494261,-10881.027347,-3753.867940
372.023275,-1110.308913,-11399.171507,-2604.724693
372.023597,-2368.659014,-14730.098246,-3217.601092
372.023919,-2664.741391,-16950.716072,-4519.963438
372.024241,-3330.926739,-14063.912898,-5592.497135
372.024563,-3108.864956,-9918.759623,-5515.887586
372.024884,-814.226536,-9918.759623,-4826.401637
372.025206,1480.411884,-10436.903782,-3907.087040
372.025528,3330.926739,-9474.636058,-2911.162892
372.025850,5181.441594,-7994.224174,-1072.533697
372.026172,7624.121203,-9030.512492,306.438199
372.026493,7624.121203,-9622.677246,1072.533697
372.026815,6809.894666,-8734.430116,1378.971896
372.027137,5477.523971,-7254.018232,842.705048
372.027459,4811.338623,-8216.285956,0.000000
372.027781,3034.844362,-8734.430116,229.828649
372.028102,0.000000,-8956.491898,459.657299
372.028424,-2294.638420,-8438.347739,689.485948
372.028746,-2294.638420,-9326.594869,0.000000
372.029068,-962.267725,-10807.006753,-1608.800546
372.029390,-740.205942,-10510.924376,-2145.067394
372.029711,-1184.329507,-9918.759623,-1378.971896
372.030033,222.061783,-9178.553681,-459.657299
372.030355,2590.720797,-9030.512492,-2374.896044
372.030677,4589.276840,-9178.553681,-4290.134789
372.030999,5329.482782,-9252.574275,-3370.820191
372.031321,4959.379811,-8734.430116,-2068.457845
372.031642,5107.421000,-9178.553681,-1225.752797
372.031964,4441.235652,-9400.615463,-689.485948
372.032286,2886.803174,-8438.347739,-842.705048
372.032608,962.267725,-7328.038826,-1378.971896
372.032930,74.020594,-6957.935855,-2451.505594
372.033251,370.102971,-8956.491898,-2987.772442
372.033573,0.000000,-10066.800811,-1991.848295
372.033895,-1184.329507,-9770.718434,1149.143247
372.034217,-1776.494261,-8364.327145,2911.162892
372.034539,-370.102971,-8882.471304,0.000000
372.034860,814.226536,-11177.109724,-3294.210641
372.035182,1924.535449,-12509.480420,-3064.381992
372.035504,2072.576638,-13471.748144,-1532.190996
372.035826,2072.576638,-13471.748144,689.485948
372.036148,2590.720797,-12065.356855,2911.162892
372.036469,3997.112087,-8438.347739,1455.581446
372.036791,5625.565159,-6513.812290,-2757.943793
372.037113,7402.059420,-8734.430116,-5745.716235
372.037435,8438.347739,-11621.233289,-3370.820191
372.037757,7476.080014,-9548.656652,842.705048
372.038078,5995.668130,-7031.956449,3064.381992
372.038400,4663.297435,-5995.668130,2528.115143
372.038722,3627.009116,-5847.626942,0.000000
372.039044,0.000000,-4663.297435,-4060.306139
372.039366,-4293.194464,-5181.441594,-4903.011187
372.039687,-6735.874072,-7846.182985,-1915.238745
372.040009,-7254.018232,-8512.368333,-306.438199
372.040331,-7105.977043,-9030.512492,-2987.772442
372.040653,-4071.132681,-11473.192101,-5515.887586
372.040974,-2294.638420,-15100.201217,-5439.278036
372.041296,-2960.823768,-16284.530724,-3600.648841
372.041618,-4219.173869,-12657.521608,0.000000
372.041939,-2664.741391,-10362.883188,-689.485948
372.042261,0.000000,-11029.068536,-4136.915689
372.042583,888.247130,-11917.315666,-5056.230287
372.042905,0.000000,-10732.986159,-3064.381992
372.043226,-148.041188,-8290.306550,229.828649
372.043548,3404.947333,-8364.327145,1991.848295
372.043870,6661.853478,-10140.821405,459.657299
372.044191,8216.285956,-10584.944971,-689.485948
372.044513,8216.285956,-8586.388927,1225.752797
372.044835,7476.080014,-6439.791695,2068.457845
372.045157,6735.874072,-5699.585753,1378.971896
372.045478,2886.803174,-4441.235652,842.705048
372.045800,-2368.659014,-3478.967927,-689.485948
372.046122,-6957.935855,-6587.832884,-3370.820191
372.046443,-10214.842000,-10955.047942,-4136.915689
372.046765,-11695.253884,-12287.418637,-4443.353888
372.047087,-11029.068536,-11473.192101,-5515.887586
372.047409,-8660.409521,-11251.130318,-4136.915689
372.047730,-6217.729913,-12657.521608,-2757.943793
372.048052,-5551.544565,-12879.583391,-3370.820191
372.048374,-5625.565159,-9844.739029,-3064.381992
372.048695,-5329.482782,-7476.080014,-2757.943793
372.049017,-5107.421000,-8290.306550,-3370.820191
372.049339,-4737.318029,-10214.842000,-2528.115143
372.049661,-4293.194464,-9770.718434,-459.657299
372.049982,-888.247130,-9178.553681,1072.533697
372.050304,4515.256246,-8660.409521,2068.457845
372.050626,8216.285956,-7402.059420,1302.362347
372.050947,9992.780217,-5477.523971,2145.067394
372.051269,10362.883188,-4885.359217,2911.162892
372.051591,9474.636058,-5403.503377,2298.286494
372.051913,6365.771101,-6587.832884,153.219100
372.052234,3997.112087,-7772.162391,-1378.971896
372.052556,1480.411884,-9844.739029,-2068.457845
372.052878,-740.205942,-12509.480420,-1991.848295
372.053199,-1850.514855,-14063.912898,-1225.752797
372.053521,-1480.411884,-13471.748144,-919.314598
372.053843,-296.082377,-10140.821405,-2757.943793
372.054165,-740.205942,-9326.594869,-3294.210641
372.054486,-2664.741391,-10807.006753,-3294.210641
372.054808,-4515.256246,-10510.924376,-2911.162892
372.055130,-5699.585753,-10658.965565,-3140.991542
372.055451,-6069.688724,-11029.068536,-1991.848295
372.055773,-6217.729913,-12361.439231,-766.095498
372.056095,-5477.523971,-11029.068536,-536.266849
372.056417,-3182.885551,-9030.512492,-766.095498
372.056738,592.164754,-8364.327145,-689.485948
372.057060,4145.153275,-7254.018232,229.828649
372.057382,5699.585753,-5699.585753,0.000000
372.057703,6513.812290,-6439.791695,0.000000
372.058025,7254.018232,-7476.080014,0.000000
372.058347,7476.080014,-8660.409521,-536.266849
372.058669,5847.626942,-9252.574275,-1225.752797
372.058990,4219.173869,-9770.718434,-1608.800546
372.059312,3034.844362,-10584.944971,-2374.896044
372.059634,1998.556043,-10584.944971,-1991.848295
372.059955,1628.453072,-10658.965565,-1532.190996
372.060277,1184.329507,-9548.656652,-2145.067394
372.060599,296.082377,-8882.471304,-2451.505594
372.060921,-814.226536,-10436.903782,-2451.505594
372.061242,-3775.050304,-10955.047942,-1378.971896
372.061564,-5477.523971,-10436.903782,-1532.190996
372.061886,-6217.729913,-10436.903782,-2374.896044
372.062207,-6587.832884,-11029.068536,-1685.410096
372.062529,-6735.874072,-10362.883188,-766.095498
372.062851,-6143.709319,-9030.512492,-766.095498
372.063173,-3997.112087,-7698.141797,-689.485948
372.063494,-1258.350101,-7254.018232,-1302.362347
372.063816,74.020594,-6957.935855,-1762.019645
372.064138,1036.288319,-6069.688724,-1072.533697
372.064459,3256.906145,-6809.894666,-1378.971896
372.064781,3923.091493,-8438.347739,-1685.410096
372.065103,2664.741391,-9474.636058,-1225.752797
372.065425,-222.061783,-8808.450710,-1225.752797
372.065746,-2368.659014,-9474.636058,-2604.724693
372.066068,-3034.844362,-10658.965565,-4290.134789
372.066390,-3849.070898,-9918.759623,-3983.696590
372.066711,-3849.070898,-9474.636058,-3140.991542
372.067033,-3256.906145,-9992.780217,-3064.381992
372.067355,-2664.741391,-11769.274478,-1838.629195
372.067677,-3552.988522,-10955.047942,-995.924147
372.067998,-3775.050304,-9400.615463,-995.924147
372.068320,-3256.906145,-9770.718434,-2604.724693
372.068642,-2368.659014,-11547.212695,-2834.553343
372.068963,-3775.050304,-11103.089130,-612.876398
372.069285,-3627.009116,-9622.677246,536.266849
372.069607,74.020594,-8808.450710,383.047749
372.069928,4589.276840,-9252.574275,-995.924147
372.070250,6291.750507,-8216.285956,-1608.800546
372.070572,6143.709319,-6661.853478,-383.047749
372.070894,6291.750507,-6513.812290,459.657299
372.071215,6587.832884,-7179.997637,76.609550
372.071537,4589.276840,-8882.471304,-995.924147
372.071859,1480.411884,-9030.512492,-1915.238745
372.072180,-814.226536,-9030.512492,-2528.115143
372.072502,-1776.494261,-10510.924376,-3064.381992
372.072824,-1850.514855,-10584.944971,-2451.505594
