#time,accel_x,accel_y,accel_z
310.162272,-222.061783,-9400.615463,-1608.800546
310.162594,-222.061783,-9252.574275,-1685.410096
310.162916,0.000000,-9548.656652,-2221.676944
310.163238,-518.144159,-9474.636058,-1532.190996
310.163560,-370.102971,-9400.615463,-1608.800546
310.163882,-296.082377,-9400.615463,-1685.410096
310.164204,-296.082377,-9326.594869,-1532.190996
310.164527,-666.185348,-9326.594869,-1838.629195
310.164849,-592.164754,-9474.636058,-1225.752797
310.165171,-518.144159,-9548.656652,-1532.190996
310.165493,-814.226536,-9474.636058,-1685.410096
310.165815,-518.144159,-9252.574275,-1455.581446
310.166137,-148.041188,-8956.491898,-1532.190996
310.166459,-740.205942,-9030.512492,-1149.143247
310.166781,-518.144159,-9326.594869,-1302.362347
310.167103,-666.185348,-9252.574275,-1302.362347
310.167425,-222.061783,-9474.636058,-1149.143247
310.167747,0.000000,-9030.512492,-995.924147
310.168069,-296.082377,-9474.636058,-1608.800546
310.168391,-592.164754,-9474.636058,-1149.143247
310.168714,-666.185348,-9474.636058,-1378.971896
310.169036,-370.102971,-9252.574275,-1532.190996
310.169358,-222.061783,-9326.594869,-1455.581446
310.169680,0.000000,-9474.636058,-1225.752797
310.170002,-592.164754,-9474.636058,-1455.581446
310.170324,-518.144159,-9622.677246,-1072.533697
310.170646,-592.164754,-9474.636058,-1378.971896
310.170968,-296.082377,-9400.615463,-1455.581446
310.171290,0.000000,-9030.512492,-1455.581446
310.171612,-370.102971,-8438.347739,-1762.019645
310.171934,-370.102971,-9030.512492,-1302.362347
310.172256,-296.082377,-9104.533087,-1378.971896
310.172578,-444.123565,-9252.574275,-1378.971896
310.172900,-370.102971,-9326.594869,-1532.190996
310.173223,-370.102971,-9474.636058,-2068.457845
310.173545,-296.082377,-9474.636058,-1455.581446
310.173867,-222.061783,-9474.636058,-1685.410096
310.174189,-444.123565,-9252.574275,-1762.019645
310.174511,-222.061783,-9178.553681,-1838.629195
310.174833,-370.102971,-9178.553681,-1685.410096
310.175155,-148.041188,-9400.615463,-1532.190996
310.175477,-592.164754,-9474.636058,-1532.190996
310.175799,-518.144159,-9474.636058,-1685.410096
310.176121,-518.144159,-9474.636058,-1915.238745
310.176443,-518.144159,-9104.533087,-2068.457845
310.176765,-444.123565,-8956.491898,-1532.190996
310.177087,-296.082377,-9104.533087,-1685.410096
310.177410,-296.082377,-9252.574275,-1608.800546
310.177732,-370.102971,-9474.636058,-1838.629195
310.178054,0.000000,-9178.553681,-2298.286494
310.178376,962.267725,-9696.697840,-1608.800546
310.178698,2516.700203,-10140.821405,-2298.286494
310.179020,2886.803174,-9474.636058,-689.485948
310.179342,2368.659014,-8660.409521,-383.047749
310.179664,1110.308913,-8808.450710,-1532.190996
310.179986,-444.123565,-8882.471304,-1838.629195
310.180308,-2368.659014,-8956.491898,-1838.629195
310.180630,-4071.132681,-9474.636058,-2374.896044
310.180952,-4663.297435,-9992.780217,-3140.991542
310.181274,-3256.906145,-9770.718434,-3907.087040
310.181596,-370.102971,-10214.842000,-3447.429741
310.181919,2812.782580,-11399.171507,-1685.410096
310.182241,3923.091493,-10881.027347,0.000000
310.182563,3701.029710,-9178.553681,459.657299
310.182885,2886.803174,-8142.265362,-536.266849
310.183207,2886.803174,-9104.533087,-1991.848295
310.183529,2590.720797,-9844.739029,-3370.820191
310.183851,1184.329507,-8882.471304,-995.924147
310.184173,-370.102971,-7402.059420,229.828649
310.184495,0.000000,-7254.018232,-612.876398
310.184817,1628.453072,-9326.594869,-2374.896044
310.185139,1480.411884,-10436.903782,-1302.362347
310.185461,-962.267725,-9548.656652,612.876398
310.185783,-2516.700203,-8660.409521,-1072.533697
310.186106,-1480.411884,-9400.615463,-3830.477490
310.186428,-222.061783,-9474.636058,-4136.915689
