#time,accel_x,accel_y,accel_z
473.672418,-148.041188,-9178.553681,-919.314598
473.672740,-222.061783,-9104.533087,-1532.190996
473.673062,-296.082377,-9252.574275,-1455.581446
473.673385,-444.123565,-9326.594869,-1302.362347
473.673707,-444.123565,-9400.615463,-1762.019645
473.674029,-592.164754,-9770.718434,-1225.752797
473.674351,-592.164754,-9474.636058,-1762.019645
473.674673,-444.123565,-9474.636058,-1685.410096
473.674995,0.000000,-9252.574275,-1608.800546
473.675317,0.000000,-9252.574275,-1532.190996
473.675640,0.000000,-9178.553681,-1762.019645
473.675962,-444.123565,-8956.491898,-1455.581446
473.676284,-296.082377,-9400.615463,-1762.019645
473.676606,-592.164754,-9548.656652,-1762.019645
473.676928,-370.102971,-9548.656652,-1762.019645
473.677250,-444.123565,-9548.656652,-1838.629195
473.677573,-222.061783,-9400.615463,-2221.676944
473.677895,0.000000,-9474.636058,-1915.238745
473.678217,-370.102971,-9178.553681,-1838.629195
473.678539,-222.061783,-9474.636058,-1915.238745
473.678861,-296.082377,-9548.656652,-1991.848295
473.679183,-370.102971,-9770.718434,-2451.505594
473.679506,-444.123565,-9622.677246,-1838.629195
473.679828,-444.123565,-9474.636058,-1762.019645
473.680150,-222.061783,-9326.594869,-1685.410096
473.680472,0.000000,-9030.512492,-1762.019645
473.680794,-222.061783,-8808.450710,-1608.800546
473.681116,-296.082377,-8956.491898,-1685.410096
473.681439,-296.082377,-9252.574275,-1838.629195
473.681761,-518.144159,-9474.636058,-1608.800546
473.682083,-592.164754,-9696.697840,-1685.410096
473.682405,-518.144159,-9400.615463,-1762.019645
473.682727,-444.123565,-8956.491898,-1455.581446
473.683049,-222.061783,-9178.553681,-1455.581446
473.683371,-222.061783,-8956.491898,-1608.800546
473.683694,-222.061783,-9104.533087,-1378.971896
473.684016,-296.082377,-9326.594869,-1532.190996
473.684338,-222.061783,-9474.636058,-1685.410096
473.684660,-222.061783,-9474.636058,-1838.629195
473.684982,-518.144159,-9400.615463,-1455.581446
473.685304,-518.144159,-9474.636058,-1455.581446
473.685627,-370.102971,-9104.533087,-1455.581446
473.685949,-370.102971,-8586.388927,-1838.629195
473.686271,-296.082377,-8956.491898,-1608.800546
473.686593,-222.061783,-9400.615463,-1455.581446
473.686915,-370.102971,-9474.636058,-1378.971896
473.687237,-222.061783,-9474.636058,-1532.190996
473.687560,-296.082377,-9474.636058,-1608.800546
473.687882,-592.164754,-9178.553681,-1455.581446
473.688204,0.000000,-9474.636058,-1991.848295
473.688526,-296.082377,-9548.656652,-1532.190996
473.688848,-296.082377,-9474.636058,-1455.581446
473.689170,-518.144159,-9474.636058,-1608.800546
473.689492,-444.123565,-9696.697840,-1991.848295
473.689815,-518.144159,-9474.636058,-1225.752797
473.690137,-370.102971,-9548.656652,-1455.581446
473.690459,-370.102971,-9474.636058,-1225.752797
473.690781,296.082377,-9252.574275,-1608.800546
473.691103,1554.432478,-9770.718434,-1991.848295
473.691425,2664.741391,-9326.594869,-1072.533697
473.691748,2516.700203,-9326.594869,-383.047749
473.692070,1628.453072,-8956.491898,0.000000
473.692392,444.123565,-9104.533087,-1608.800546
473.692714,-592.164754,-9400.615463,-2298.286494
473.693036,-2146.597232,-9400.615463,-2068.457845
473.693358,-3108.864956,-9474.636058,-2374.896044
473.693681,-3775.050304,-9622.677246,-2528.115143
473.694003,-2442.679609,-9622.677246,-2757.943793
473.694325,74.020594,-10362.883188,-2604.724693
473.694647,2516.700203,-11103.089130,-1149.143247
473.694969,2738.761985,-10214.842000,229.828649
473.695291,2368.659014,-8660.409521,-153.219100
473.695613,2294.638420,-8142.265362,-995.924147
473.695936,2664.741391,-9252.574275,-2221.676944
473.696258,2442.679609,-9548.656652,-2221.676944
473.696580,1406.391290,-9030.512492,-536.266849
473.696902,-148.041188,-7105.977043,306.438199
473.697224,666.185348,-7476.080014,-1149.143247
473.697546,2368.659014,-9622.677246,-2451.505594
473.697869,1184.329507,-10214.842000,-1455.581446
473.698191,-1036.288319,-8956.491898,229.828649
473.698513,-1480.411884,-8438.347739,-1455.581446
473.698835,-370.102971,-8956.491898,-3907.087040
473.699157,370.102971,-9474.636058,-3140.991542
473.699479,518.144159,-10955.047942,-1302.362347
473.699802,1184.329507,-10807.006753,-1302.362347
473.700124,2442.679609,-9622.677246,-2451.505594
473.700446,3775.050304,-10362.883188,-1608.800546
473.700768,4589.276840,-11547.212695,-383.047749
473.701090,4219.173869,-10881.027347,-689.485948
473.701412,3034.844362,-8660.409521,-1762.019645
473.701734,2368.659014,-7328.038826,-612.876398
473.702057,2664.741391,-8290.306550,-1225.752797
473.702379,2072.576638,-8438.347739,-1378.971896
473.702701,1406.391290,-7772.162391,-1378.971896
473.703023,962.267725,-8734.430116,-1225.752797
473.703345,2220.617826,-10288.862594,-842.705048
473.703667,2664.741391,-10732.986159,-1302.362347
473.703990,2368.659014,-9622.677246,-1991.848295
473.704312,2368.659014,-9992.780217,-2221.676944
473.704634,3034.844362,-10214.842000,-1302.362347
473.704956,3182.885551,-9622.677246,-2145.067394
473.705278,2738.761985,-9326.594869,-3064.381992
473.705600,2368.659014,-10436.903782,-1915.238745
473.705923,2812.782580,-10436.903782,-919.314598
473.706245,2960.823768,-9622.677246,-1302.362347
473.706567,2516.700203,-9474.636058,-1991.848295
473.706889,2146.597232,-8956.491898,-766.095498
473.707211,1628.453072,-8290.306550,-612.876398
473.707533,370.102971,-7179.997637,-842.705048
473.707856,-444.123565,-7846.182985,-1915.238745
473.708178,-740.205942,-8808.450710,-1991.848295
473.708500,-666.185348,-10140.821405,-1149.143247
473.708822,-518.144159,-10732.986159,-612.876398
473.709144,-296.082377,-11547.212695,-766.095498
473.709466,592.164754,-11917.315666,-1455.581446
473.709788,1628.453072,-11399.171507,-459.657299
473.710111,1554.432478,-10510.924376,0.000000
473.710433,1776.494261,-9326.594869,-689.485948
473.710755,1480.411884,-8364.327145,-1378.971896
473.711077,1924.535449,-7846.182985,-1225.752797
473.711399,1850.514855,-7624.121203,-459.657299
473.711721,1554.432478,-7698.141797,-919.314598
473.712044,1702.473667,-7772.162391,-1225.752797
473.712366,2220.617826,-8068.244768,-842.705048
473.712688,1702.473667,-8364.327145,-842.705048
473.713010,1776.494261,-8142.265362,-2221.676944
473.713332,1628.453072,-7994.224174,-2757.943793
473.713654,1628.453072,-9030.512492,-2145.067394
473.713977,1480.411884,-9770.718434,-1302.362347
473.714299,1702.473667,-10362.883188,-1608.800546
473.714621,1332.370696,-10732.986159,-2145.067394
473.714943,1406.391290,-11547.212695,-1915.238745
473.715265,1480.411884,-11769.274478,-1378.971896
473.715587,1480.411884,-11103.089130,-1608.800546
473.715909,1998.556043,-10807.006753,-2068.457845
473.716232,2220.617826,-10140.821405,-1532.190996
473.716554,2516.700203,-9548.656652,-536.266849
473.716876,2960.823768,-8882.471304,-306.438199
473.717198,3552.988522,-8216.285956,-1072.533697
473.717520,4885.359217,-8216.285956,-1532.190996
473.717842,5625.565159,-8068.244768,-1915.238745
473.718165,5847.626942,-8068.244768,-1838.629195
473.718487,5181.441594,-8586.388927,-1915.238745
473.718809,4663.297435,-9474.636058,-2374.896044
473.719131,4219.173869,-10955.047942,-2604.724693
473.719453,2294.638420,-12139.377449,-2451.505594
473.719775,1036.288319,-12509.480420,-2604.724693
473.720098,0.000000,-12139.377449,-1915.238745
473.720420,0.000000,-11029.068536,-1072.533697
473.720742,-296.082377,-9326.594869,0.000000
473.721064,0.000000,-7328.038826,-153.219100
473.721386,-148.041188,-6069.688724,-689.485948
473.721708,518.144159,-5403.503377,-766.095498
473.722030,888.247130,-5329.482782,-995.924147
473.722353,1406.391290,-6217.729913,-766.095498
473.722675,1628.453072,-7698.141797,-1302.362347
473.722997,1258.350101,-8882.471304,-1685.410096
473.723319,592.164754,-10066.800811,-1532.190996
473.723641,296.082377,-11251.130318,-2221.676944
473.723963,0.000000,-11399.171507,-2987.772442
473.724286,-1036.288319,-10584.944971,-2451.505594
473.724608,-1554.432478,-10732.986159,-3217.601092
473.724930,-1702.473667,-11177.109724,-3064.381992
473.725252,-2146.597232,-11325.150913,-2451.505594
473.725574,-3034.844362,-11769.274478,-1225.752797
473.725896,-3552.988522,-11843.295072,-306.438199
473.726219,-3108.864956,-11177.109724,-153.219100
473.726541,-2886.803174,-10066.800811,0.000000
