#time,accel_x,accel_y,accel_z
457.366978,-592.164754,-9252.574275,-1532.190996
457.367301,-370.102971,-8956.491898,-1455.581446
457.367623,-148.041188,-9178.553681,-1455.581446
457.367945,-370.102971,-9178.553681,-1608.800546
457.368268,-592.164754,-9178.553681,-1378.971896
457.368590,-296.082377,-9696.697840,-1532.190996
457.368912,-444.123565,-9548.656652,-1762.019645
457.369234,-370.102971,-9474.636058,-1455.581446
457.369557,-222.061783,-9326.594869,-1608.800546
457.369879,-222.061783,-8882.471304,-1455.581446
457.370201,-148.041188,-9104.533087,-1302.362347
457.370524,-148.041188,-9400.615463,-1532.190996
457.370846,-444.123565,-9400.615463,-1532.190996
457.371168,-296.082377,-9326.594869,-1532.190996
457.371491,-518.144159,-9104.533087,-1149.143247
457.371813,-296.082377,-9696.697840,-1762.019645
457.372135,-296.082377,-9474.636058,-1838.629195
457.372458,-444.123565,-9252.574275,-1762.019645
457.372780,-296.082377,-9252.574275,-1685.410096
457.373102,-444.123565,-8734.430116,-1532.190996
457.373425,-592.164754,-9474.636058,-1608.800546
457.373747,-740.205942,-9400.615463,-1762.019645
457.374069,-518.144159,-9474.636058,-1762.019645
457.374392,-518.144159,-9474.636058,-1685.410096
457.374714,-592.164754,-9326.594869,-1915.238745
457.375036,74.020594,-9622.677246,-1762.019645
457.375358,-444.123565,-9400.615463,-1685.410096
457.375681,-518.144159,-9326.594869,-1762.019645
457.376003,-444.123565,-9326.594869,-1762.019645
457.376325,-592.164754,-9252.574275,-1838.629195
457.376648,-222.061783,-9474.636058,-1838.629195
457.376970,-444.123565,-9400.615463,-1685.410096
457.377292,-592.164754,-9474.636058,-1532.190996
457.377615,-296.082377,-9326.594869,-1838.629195
457.377937,-518.144159,-9326.594869,-1685.410096
457.378259,-296.082377,-9178.553681,-1532.190996
457.378582,-296.082377,-9326.594869,-995.924147
457.378904,-518.144159,-9400.615463,-1608.800546
457.379226,-518.144159,-9400.615463,-1455.581446
457.379549,-518.144159,-9400.615463,-1532.190996
457.379871,-370.102971,-9326.594869,-1455.581446
457.380193,-370.102971,-8882.471304,-1378.971896
457.380515,74.020594,-9400.615463,-1838.629195
457.380838,-296.082377,-9474.636058,-1455.581446
457.381160,-370.102971,-9326.594869,-1532.190996
457.381482,-444.123565,-9178.553681,-1608.800546
457.381805,-444.123565,-9474.636058,-1608.800546
457.382127,-444.123565,-9474.636058,-1532.190996
457.382449,-444.123565,-9474.636058,-1532.190996
457.382772,-296.082377,-9178.553681,-1532.190996
457.383094,0.000000,-9252.574275,-1532.190996
457.383416,592.164754,-8882.471304,-1532.190996
457.383739,1480.411884,-9696.697840,-1532.190996
457.384061,2220.617826,-9844.739029,-1532.190996
457.384383,2220.617826,-9474.636058,-612.876398
457.384706,1332.370696,-8808.450710,-306.438199
457.385028,444.123565,-8734.430116,-1762.019645
457.385350,-296.082377,-9104.533087,-1991.848295
457.385673,-1998.556043,-9326.594869,-2451.505594
457.385995,-3108.864956,-9844.739029,-2145.067394
457.386317,-3627.009116,-9622.677246,-2451.505594
457.386639,-2368.659014,-9696.697840,-2451.505594
457.386962,444.123565,-10584.944971,-2145.067394
457.387284,2738.761985,-11399.171507,-1302.362347
457.387606,3182.885551,-10140.821405,-153.219100
457.387929,2368.659014,-8586.388927,0.000000
457.388251,2072.576638,-8364.327145,-842.705048
457.388573,2738.761985,-9326.594869,-2451.505594
457.388896,1924.535449,-9474.636058,-1838.629195
457.389218,888.247130,-9326.594869,-766.095498
457.389540,-444.123565,-7772.162391,0.000000
457.389863,148.041188,-7402.059420,-1378.971896
457.390185,1406.391290,-9474.636058,-2834.553343
457.390507,888.247130,-10140.821405,-1838.629195
457.390830,-740.205942,-8808.450710,-459.657299
457.391152,-1554.432478,-8660.409521,-2221.676944
457.391474,-444.123565,-9474.636058,-3753.867940
457.391797,370.102971,-9918.759623,-2757.943793
457.392119,370.102971,-10584.944971,-1072.533697
457.392441,962.267725,-10362.883188,-1302.362347
457.392763,2368.659014,-9326.594869,-2145.067394
457.393086,3627.009116,-9770.718434,-1838.629195
457.393408,4515.256246,-11103.089130,-459.657299
457.393730,3923.091493,-10658.965565,-229.828649
457.394053,2738.761985,-8290.306550,-612.876398
457.394375,2886.803174,-7698.141797,-1072.533697
457.394697,2960.823768,-8364.327145,-919.314598
457.395020,2442.679609,-8438.347739,-1302.362347
457.395342,1184.329507,-7698.141797,-1149.143247
457.395664,1036.288319,-8364.327145,-689.485948
457.395987,2220.617826,-9918.759623,-766.095498
457.396309,2886.803174,-10510.924376,-1378.971896
457.396631,2664.741391,-9326.594869,-2068.457845
457.396954,2368.659014,-9474.636058,-1838.629195
457.397276,3034.844362,-9918.759623,-995.924147
457.397598,2516.700203,-9326.594869,-1762.019645
457.397921,2738.761985,-9474.636058,-2451.505594
457.398243,2294.638420,-9992.780217,-1915.238745
457.398565,2368.659014,-9622.677246,-1225.752797
457.398887,2812.782580,-9326.594869,-1608.800546
457.399210,2664.741391,-9326.594869,-2068.457845
457.399532,1998.556043,-9474.636058,-1455.581446
457.399854,1332.370696,-8734.430116,-842.705048
457.400177,518.144159,-7846.182985,-1225.752797
457.400499,-296.082377,-8364.327145,-2221.676944
457.400821,-740.205942,-9252.574275,-1762.019645
457.401144,-888.247130,-9918.759623,-1378.971896
457.401466,-370.102971,-10955.047942,-766.095498
457.401788,74.020594,-11547.212695,-1149.143247
457.402111,962.267725,-11621.233289,-1072.533697
457.402433,1850.514855,-11251.130318,-383.047749
457.402755,2442.679609,-10732.986159,-153.219100
457.403078,2368.659014,-9622.677246,-919.314598
457.403400,2590.720797,-8808.450710,-1225.752797
457.403722,2368.659014,-7994.224174,-842.705048
457.404045,1628.453072,-8068.244768,-459.657299
457.404367,1480.411884,-8216.285956,-919.314598
457.404689,1480.411884,-7994.224174,-1532.190996
457.405011,1332.370696,-8438.347739,-1302.362347
457.405334,1406.391290,-8364.327145,-1532.190996
457.405656,1554.432478,-7994.224174,-1762.019645
457.405978,1554.432478,-8068.244768,-1762.019645
457.406301,1110.308913,-8660.409521,-1838.629195
457.406623,1184.329507,-9474.636058,-1991.848295
457.406945,740.205942,-10214.842000,-2528.115143
457.407268,444.123565,-10807.006753,-2221.676944
457.407590,592.164754,-11695.253884,-1915.238745
457.407912,814.226536,-11399.171507,-689.485948
457.408235,1406.391290,-10807.006753,-1149.143247
457.408557,1776.494261,-10214.842000,-1455.581446
457.408879,2368.659014,-9844.739029,-689.485948
457.409202,2886.803174,-9252.574275,-229.828649
457.409524,2812.782580,-8438.347739,229.828649
457.409846,3775.050304,-7920.203579,-1072.533697
457.410168,4959.379811,-7476.080014,-1762.019645
457.410491,5995.668130,-7920.203579,-1915.238745
457.410813,6069.688724,-8290.306550,-1149.143247
457.411135,5403.503377,-8660.409521,-612.876398
457.411458,4737.318029,-9474.636058,-1532.190996
457.411780,3775.050304,-10732.986159,-2528.115143
457.412102,2516.700203,-12287.418637,-2681.334243
457.412425,888.247130,-12657.521608,-2145.067394
457.412747,148.041188,-11769.274478,-1532.190996
457.413069,370.102971,-10510.924376,-995.924147
457.413392,666.185348,-8956.491898,-536.266849
457.413714,370.102971,-7476.080014,0.000000
457.414036,148.041188,-6883.915261,229.828649
457.414359,296.082377,-6069.688724,-383.047749
457.414681,888.247130,-5699.585753,-919.314598
457.415003,1110.308913,-6143.709319,-1608.800546
457.415326,1110.308913,-7624.121203,-1608.800546
457.415648,814.226536,-8882.471304,-1608.800546
457.415970,592.164754,-10288.862594,-1762.019645
457.416292,666.185348,-11251.130318,-1915.238745
457.416615,296.082377,-10881.027347,-2451.505594
457.416937,-222.061783,-11103.089130,-2757.943793
457.417259,-1258.350101,-10881.027347,-2528.115143
457.417582,-1998.556043,-11399.171507,-2528.115143
457.417904,-2886.803174,-11399.171507,-2374.896044
457.418226,-3552.988522,-11029.068536,-1838.629195
457.418549,-3849.070898,-11177.109724,-2374.896044
457.418871,-2886.803174,-11177.109724,-1302.362347
457.419193,-1850.514855,-10807.006753,-383.047749
457.419516,-518.144159,-9548.656652,383.047749
457.419838,666.185348,-7698.141797,536.266849
457.420160,2590.720797,-6291.750507,-459.657299
457.420483,4737.318029,-5551.544565,-536.266849
457.420805,6143.709319,-5625.565159,-1225.752797
457.421127,6587.832884,-6217.729913,-766.095498
457.421450,6439.791695,-6809.894666,-1225.752797
457.421772,6735.874072,-8512.368333,-3140.991542
457.422094,6439.791695,-11695.253884,-3370.820191
457.422416,5625.565159,-13989.892304,-2834.553343
457.422739,3182.885551,-13027.624579,-1302.362347
457.423061,518.144159,-11843.295072,-306.438199
457.423383,-1110.308913,-11325.150913,-1378.971896
457.423706,-3108.864956,-10214.842000,-2451.505594
457.424028,-5773.606348,-8586.388927,-1532.190996
457.424350,-7402.059420,-6809.894666,-1685.410096
457.424673,-7328.038826,-6883.915261,-2911.162892
457.424995,-3997.112087,-8734.430116,-2834.553343
457.425317,0.000000,-8882.471304,-2221.676944
457.425640,3552.988522,-9326.594869,-2528.115143
457.425962,6957.935855,-11029.068536,-2298.286494
457.426284,10658.965565,-11103.089130,-612.876398
457.426607,13175.665768,-9918.759623,-995.924147
457.426929,14211.954086,-7994.224174,-1991.848295
457.427251,13915.871710,-7624.121203,-1991.848295
457.427574,11695.253884,-8808.450710,-1149.143247
457.427896,9326.594869,-10140.821405,-383.047749
457.428218,4959.379811,-10288.862594,76.609550
457.428540,888.247130,-11547.212695,-306.438199
457.428863,-1702.473667,-12361.439231,-1072.533697
457.429185,-4589.276840,-13027.624579,0.000000
457.429507,-7772.162391,-11621.233289,2681.334243
457.429830,-9030.512492,-6439.791695,2681.334243
457.430152,-8512.368333,-3034.844362,76.609550
457.430474,-6291.750507,-3108.864956,-2221.676944
457.430797,-1628.453072,-4441.235652,-3294.210641
457.431119,2368.659014,-7550.100608,-4749.792088
457.431441,5403.503377,-10584.944971,-3370.820191
457.431764,8808.450710,-12583.501014,-1149.143247
457.432086,10214.842000,-13693.809927,-1608.800546
457.432408,10140.821405,-12139.377449,-2757.943793
457.432731,7402.059420,-10584.944971,-3753.867940
457.433053,3552.988522,-8364.327145,-4979.620737
457.433375,1480.411884,-8512.368333,-5898.935335
457.433698,74.020594,-8956.491898,-4213.525239
457.434021,-1702.473667,-10066.800811,-766.095498
457.434343,-3849.070898,-12583.501014,2145.067394
457.434666,-6439.791695,-11769.274478,4903.011187
457.434988,-6587.832884,-9474.636058,4213.525239
457.435311,-5477.523971,-5995.668130,0.000000
457.435633,-2368.659014,-7031.956449,-1532.190996
457.435956,3182.885551,-7328.038826,-383.047749
457.436279,7179.997637,-5107.421000,-306.438199
457.436601,10732.986159,-6513.812290,-1915.238745
457.436924,12287.418637,-9992.780217,-612.876398
457.437246,11251.130318,-11473.192101,1302.362347
457.437569,7105.977043,-11695.253884,-2068.457845
457.437891,1480.411884,-12879.583391,-6511.811733
457.438214,-3404.947333,-15470.304188,-7048.078582
457.438536,-6809.894666,-15248.242405,-4979.620737
457.438859,-10066.800811,-10362.883188,-2145.067394
457.439182,-10807.006753,-7105.977043,-1378.971896
457.439504,-9104.533087,-4589.276840,-2604.724693
457.439827,-5107.421000,-5329.482782,-1915.238745
457.440149,-3108.864956,-6883.915261,-1225.752797
457.440472,-2072.576638,-8882.471304,2298.286494
457.440794,-444.123565,-10214.842000,3217.601092
457.441117,2146.597232,-7624.121203,1302.362347
457.441440,4219.173869,-5329.482782,76.609550
457.441762,3552.988522,-4885.359217,-995.924147
457.442085,2590.720797,-7550.100608,-2681.334243
457.442407,1998.556043,-10214.842000,-2911.162892
457.442730,1628.453072,-10362.883188,-2604.724693
457.443052,2442.679609,-11547.212695,-4060.306139
457.443375,3478.967927,-12879.583391,-5822.325785
457.443697,4071.132681,-14285.974681,-4903.011187
457.444020,2738.761985,-12953.603985,-1378.971896
457.444343,0.000000,-11177.109724,766.095498
457.444665,-1924.535449,-11251.130318,-612.876398
457.444988,-3256.906145,-10288.862594,-2681.334243
457.445310,-3997.112087,-10066.800811,-2374.896044
457.445633,-4071.132681,-10066.800811,0.000000
457.445955,-2516.700203,-9104.533087,1149.143247
457.446278,0.000000,-7920.203579,2145.067394
457.446601,2960.823768,-6069.688724,1838.629195
457.446923,5329.482782,-4737.318029,1225.752797
457.447246,5847.626942,-4515.256246,-459.657299
457.447568,4959.379811,-5699.585753,-2528.115143
457.447891,4367.215058,-6883.915261,-3064.381992
457.448213,2516.700203,-8068.244768,-3524.039291
457.448536,-296.082377,-9548.656652,-3524.039291
457.448858,-3330.926739,-11547.212695,-3524.039291
457.449181,-5477.523971,-13397.727550,-4673.182538
457.449504,-5403.503377,-14508.036463,-5362.668486
457.449826,-5551.544565,-14434.015869,-4596.572988
457.450149,-5255.462188,-13471.748144,-3140.991542
