#time,accel_x,accel_y,accel_z
178.568135,-592.164754,-9474.636058,-1225.752797
178.568457,-518.144159,-9474.636058,-1225.752797
178.568778,-296.082377,-9474.636058,-1225.752797
178.569100,-444.123565,-9252.574275,-995.924147
178.569422,0.000000,-8882.471304,-1225.752797
178.569744,-296.082377,-9104.533087,-766.095498
178.570066,-518.144159,-9104.533087,-1149.143247
178.570387,-518.144159,-9326.594869,-1225.752797
178.570709,-444.123565,-9326.594869,-1225.752797
178.571031,-296.082377,-9104.533087,-1225.752797
178.571353,-296.082377,-9326.594869,-1225.752797
178.571675,0.000000,-9252.574275,-1225.752797
178.571996,-444.123565,-9252.574275,-995.924147
178.572318,-222.061783,-9178.553681,-919.314598
178.572640,-222.061783,-9104.533087,-1149.143247
178.572962,0.000000,-8808.450710,-1072.533697
178.573284,0.000000,-9326.594869,-1455.581446
178.573605,-148.041188,-9104.533087,-1149.143247
178.573927,-444.123565,-9178.553681,-1072.533697
178.574249,-296.082377,-9178.553681,-1225.752797
178.574571,0.000000,-9400.615463,-1608.800546
178.574893,0.000000,-9326.594869,-1608.800546
178.575214,0.000000,-9178.553681,-1378.971896
178.575536,0.000000,-9104.533087,-1455.581446
178.575858,0.000000,-9104.533087,-1685.410096
178.576180,0.000000,-9400.615463,-1302.362347
178.576502,222.061783,-9400.615463,-1532.190996
178.576823,-370.102971,-9474.636058,-1455.581446
178.577145,-296.082377,-9474.636058,-1302.362347
178.577467,-296.082377,-9622.677246,-1608.800546
178.577789,-222.061783,-9622.677246,-1608.800546
178.578110,0.000000,-9474.636058,-1532.190996
178.578432,-518.144159,-9104.533087,-1685.410096
178.578754,-370.102971,-9474.636058,-1991.848295
178.579076,-444.123565,-9326.594869,-1762.019645
178.579398,-592.164754,-9474.636058,-1838.629195
178.579719,-444.123565,-9770.718434,-1302.362347
178.580041,-592.164754,-9548.656652,-2068.457845
178.580363,-592.164754,-9622.677246,-1762.019645
178.580685,-518.144159,-9548.656652,-1915.238745
178.581007,-592.164754,-9474.636058,-1838.629195
178.581328,-592.164754,-9622.677246,-1838.629195
178.581650,-888.247130,-9252.574275,-1838.629195
178.581972,-518.144159,-9548.656652,-1685.410096
178.582294,-740.205942,-9474.636058,-1685.410096
178.582616,-592.164754,-9474.636058,-1838.629195
178.582937,-666.185348,-9474.636058,-1685.410096
