#time,accel_x,accel_y,accel_z
527.047155,-296.082377,-9548.656652,-1455.581446
527.047478,-296.082377,-9474.636058,-1608.800546
527.047800,-370.102971,-9400.615463,-1838.629195
527.048122,-148.041188,-9474.636058,-1302.362347
527.048445,-592.164754,-9474.636058,-1608.800546
527.048767,-518.144159,-9474.636058,-1608.800546
527.049089,-666.185348,-9400.615463,-1762.019645
527.049412,-444.123565,-9400.615463,-1455.581446
527.049734,-148.041188,-9474.636058,-1685.410096
527.050057,-814.226536,-8956.491898,-1302.362347
527.050379,-370.102971,-9548.656652,-1685.410096
527.050701,-222.061783,-9400.615463,-1685.410096
527.051024,-370.102971,-9400.615463,-1762.019645
527.051346,-296.082377,-8882.471304,-1532.190996
527.051669,-740.205942,-8882.471304,-1608.800546
527.051991,-444.123565,-9178.553681,-1455.581446
527.052313,-370.102971,-8956.491898,-1532.190996
527.052636,-296.082377,-9030.512492,-1532.190996
527.052958,-444.123565,-9178.553681,-1302.362347
527.053280,-370.102971,-9474.636058,-1072.533697
527.053603,-222.061783,-9622.677246,-1302.362347
527.053925,-444.123565,-9474.636058,-1455.581446
527.054248,-444.123565,-9326.594869,-1455.581446
527.054570,-444.123565,-9400.615463,-1608.800546
527.054892,0.000000,-9474.636058,-1685.410096
527.055215,-222.061783,-8956.491898,-1225.752797
527.055537,-222.061783,-9400.615463,-1532.190996
527.055860,-444.123565,-9474.636058,-1532.190996
527.056182,-592.164754,-9400.615463,-1685.410096
527.056504,-592.164754,-9548.656652,-1455.581446
527.056827,-370.102971,-9474.636058,-1378.971896
527.057149,-444.123565,-9474.636058,-1838.629195
527.057471,-444.123565,-9326.594869,-1532.190996
527.057794,-444.123565,-9252.574275,-1532.190996
527.058116,-370.102971,-9326.594869,-1608.800546
527.058439,-296.082377,-9178.553681,-1608.800546
527.058761,-370.102971,-9474.636058,-1455.581446
527.059083,-592.164754,-9474.636058,-1532.190996
527.059406,-666.185348,-9622.677246,-1608.800546
527.059728,-370.102971,-9770.718434,-1608.800546
527.060051,-370.102971,-9770.718434,-1532.190996
527.060373,0.000000,-9326.594869,-1608.800546
527.060695,-222.061783,-9474.636058,-1838.629195
527.061018,-296.082377,-9252.574275,-1532.190996
527.061340,-370.102971,-9474.636058,-1608.800546
527.061663,-444.123565,-9474.636058,-1532.190996
527.061985,-148.041188,-9474.636058,-1455.581446
527.062307,-296.082377,-9400.615463,-1608.800546
527.062630,-444.123565,-9474.636058,-1455.581446
527.062952,-444.123565,-9400.615463,-1532.190996
527.063274,-296.082377,-9178.553681,-1532.190996
527.063597,-148.041188,-9030.512492,-1302.362347
527.063919,-222.061783,-9252.574275,-1532.190996
527.064242,-222.061783,-9326.594869,-1838.629195
527.064564,-370.102971,-9400.615463,-1532.190996
527.064886,-444.123565,-9474.636058,-1532.190996
527.065209,-666.185348,-9400.615463,-1072.533697
527.065531,-444.123565,-9104.533087,-1991.848295
527.065854,-666.185348,-8956.491898,-1532.190996
527.066176,-444.123565,-9104.533087,-1532.190996
527.066498,-444.123565,-9104.533087,-1455.581446
527.066821,-296.082377,-9252.574275,-1608.800546
527.067143,-296.082377,-9178.553681,-1915.238745
527.067465,-444.123565,-9474.636058,-1532.190996
527.067788,-370.102971,-9252.574275,-1532.190996
527.068110,-296.082377,-9474.636058,-1532.190996
527.068433,-518.144159,-9474.636058,-1608.800546
527.068755,0.000000,-9178.553681,-1455.581446
527.069077,-222.061783,-9178.553681,-1915.238745
527.069400,-148.041188,-9400.615463,-1685.410096
527.069722,-296.082377,-9326.594869,-1378.971896
527.070045,-370.102971,-9474.636058,-1378.971896
527.070367,-444.123565,-9548.656652,-1608.800546
527.070689,-148.041188,-9548.656652,-1762.019645
527.071012,-370.102971,-9474.636058,-1838.629195
527.071334,-518.144159,-9474.636058,-1608.800546
527.071656,-592.164754,-9770.718434,-1455.581446
527.071979,-666.185348,-9474.636058,-1455.581446
527.072301,0.000000,-9400.615463,-1762.019645
527.072624,-518.144159,-9178.553681,-1685.410096
527.072946,-592.164754,-9474.636058,-1685.410096
527.073268,-592.164754,-9622.677246,-1532.190996
527.073591,-592.164754,-9548.656652,-1532.190996
527.073913,-592.164754,-9474.636058,-1608.800546
527.074236,-592.164754,-9400.615463,-1915.238745
527.074558,-592.164754,-9252.574275,-1685.410096
527.074880,-666.185348,-9400.615463,-1608.800546
527.075203,-518.144159,-9178.553681,-1378.971896
527.075525,-370.102971,-9474.636058,-1378.971896
527.075848,-296.082377,-9326.594869,-1532.190996
527.076170,-370.102971,-9474.636058,-1378.971896
527.076492,444.123565,-9400.615463,-1915.238745
527.076815,1776.494261,-9992.780217,-2145.067394
527.077137,2442.679609,-9548.656652,-1149.143247
527.077459,2442.679609,-8660.409521,306.438199
527.077782,1480.411884,-7994.224174,0.000000
527.078104,444.123565,-8512.368333,-1838.629195
527.078427,-814.226536,-9104.533087,-2221.676944
527.078749,-2368.659014,-9474.636058,-1762.019645
527.079071,-3627.009116,-9770.718434,-1838.629195
527.079394,-3775.050304,-9474.636058,-2451.505594
527.079716,-2220.617826,-9252.574275,-2451.505594
527.080039,814.226536,-10732.986159,-2145.067394
527.080361,2516.700203,-10584.944971,-842.705048
527.080683,2590.720797,-9030.512492,229.828649
527.081006,2368.659014,-8068.244768,-229.828649
527.081328,2368.659014,-8512.368333,-1608.800546
527.081650,2590.720797,-9918.759623,-2221.676944
527.081973,1850.514855,-9770.718434,-1685.410096
527.082295,296.082377,-8512.368333,-306.438199
527.082618,0.000000,-7476.080014,-229.828649
527.082940,1554.432478,-8216.285956,-1991.848295
527.083262,2072.576638,-9918.759623,-2681.334243
527.083585,370.102971,-9622.677246,-536.266849
527.083907,-1184.329507,-8734.430116,0.000000
527.084230,-740.205942,-9400.615463,-2528.115143
527.084552,-222.061783,-8808.450710,-3753.867940
527.084874,222.061783,-9622.677246,-2374.896044
527.085197,0.000000,-10658.965565,-842.705048
527.085519,1406.391290,-10288.862594,-1762.019645
527.085841,2738.761985,-9104.533087,-2528.115143
527.086164,4145.153275,-9770.718434,-1762.019645
527.086486,4293.194464,-11473.192101,-229.828649
527.086809,3404.947333,-10732.986159,-689.485948
527.087131,2294.638420,-8660.409521,-1532.190996
527.087453,2294.638420,-8216.285956,-1532.190996
527.087776,2516.700203,-8586.388927,-1455.581446
527.088098,2072.576638,-8216.285956,-1455.581446
527.088421,1332.370696,-7624.121203,-1685.410096
527.088743,1554.432478,-9178.553681,-766.095498
527.089065,2442.679609,-10584.944971,-689.485948
527.089388,2886.803174,-10214.842000,-1608.800546
527.089710,2072.576638,-9030.512492,-1838.629195
527.090032,2812.782580,-10288.862594,-1762.019645
527.090355,3108.864956,-9770.718434,-766.095498
527.090677,3256.906145,-9474.636058,-1991.848295
527.091000,2960.823768,-9104.533087,-2145.067394
527.091322,2516.700203,-10066.800811,-919.314598
527.091644,3034.844362,-9326.594869,-459.657299
527.091967,3256.906145,-9622.677246,-1378.971896
527.092289,2590.720797,-9622.677246,-1838.629195
527.092612,2294.638420,-9178.553681,-612.876398
527.092934,1628.453072,-8216.285956,-153.219100
