#time,accel_x,accel_y,accel_z
356.446736,-296.082377,-9252.574275,-1378.971896
356.447058,-518.144159,-9326.594869,-1378.971896
356.447381,-148.041188,-9104.533087,-1608.800546
356.447704,-518.144159,-9030.512492,-1455.581446
356.448026,-296.082377,-9326.594869,-1838.629195
356.448349,-296.082377,-9400.615463,-1532.190996
356.448672,-370.102971,-9252.574275,-1608.800546
356.448994,-148.041188,-9104.533087,-1838.629195
356.449317,148.041188,-9474.636058,-1991.848295
356.449639,-444.123565,-9400.615463,-1685.410096
356.449962,-444.123565,-9400.615463,-1532.190996
356.450285,-370.102971,-9474.636058,-1685.410096
356.450607,-444.123565,-9548.656652,-1838.629195
356.450930,0.000000,-9548.656652,-1455.581446
356.451253,-296.082377,-9178.553681,-1915.238745
356.451575,-296.082377,-9252.574275,-1991.848295
356.451898,-296.082377,-9326.594869,-1915.238745
356.452221,-370.102971,-9326.594869,-1838.629195
356.452543,-518.144159,-9474.636058,-1532.190996
356.452866,-444.123565,-9622.677246,-1762.019645
356.453188,-444.123565,-9696.697840,-1915.238745
356.453511,-592.164754,-9548.656652,-1915.238745
356.453834,-370.102971,-9622.677246,-1838.629195
356.454156,-518.144159,-9474.636058,-1532.190996
356.454479,-592.164754,-8882.471304,-1455.581446
356.454802,-296.082377,-9252.574275,-2068.457845
356.455124,-370.102971,-9326.594869,-1608.800546
356.455447,-518.144159,-9400.615463,-1915.238745
356.455769,-296.082377,-9474.636058,-1762.019645
356.456092,-370.102971,-9326.594869,-1685.410096
356.456415,-444.123565,-8956.491898,-1608.800546
356.456737,-444.123565,-9030.512492,-1685.410096
356.457060,-370.102971,-9400.615463,-1532.190996
356.457383,-444.123565,-9326.594869,-1455.581446
356.457705,-148.041188,-9474.636058,-1378.971896
356.458028,-148.041188,-9326.594869,-1608.800546
356.458351,-444.123565,-9400.615463,-1532.190996
356.458673,-592.164754,-9474.636058,-1685.410096
356.458996,-296.082377,-9474.636058,-1608.800546
356.459318,-518.144159,-9474.636058,-1608.800546
356.459641,-222.061783,-8734.430116,-1991.848295
356.459964,-222.061783,-9474.636058,-1378.971896
356.460286,-222.061783,-9474.636058,-1455.581446
356.460609,-592.164754,-9474.636058,-1378.971896
356.460932,-444.123565,-9474.636058,-1225.752797
356.461254,-592.164754,-9326.594869,-766.095498
356.461577,-222.061783,-9400.615463,-1608.800546
356.461900,-148.041188,-9474.636058,-1378.971896
356.462222,-370.102971,-9252.574275,-1302.362347
356.462545,-296.082377,-9400.615463,-1149.143247
356.462867,-222.061783,-9474.636058,-1149.143247
356.463190,0.000000,-9548.656652,-1302.362347
356.463513,-370.102971,-9474.636058,-1225.752797
356.463835,0.000000,-9400.615463,-1149.143247
356.464158,1406.391290,-9696.697840,-1685.410096
